product_name,product_id,listing_price,sale_price,discount,brand,description,rating,reviews,images,slug,tong_sp,chat_lieu,cong_nghe
Giày chạy bộ nam Nike Air Zoom Victory,1.0,0.0,4750000.0,0.0,NIKE,Vải Flyknit được kéo căng hấp và định hình Nó mang lại sự nhẹ nhàng vừa vặn với đường viền với khả năng hấp thụ nước tối thiểu và tăng cường khả năng thở,2.5,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2Fu5wwsS0RMZ687Bdo_1702660112925.png?alt=media""]",giay-chay-bo-nam-nike-air-zoom-victory,1996.0,Vải Flyknit,Bọt Nike ZoomX ở gót chân cực kỳ nhạy và nhẹ mang lại cho bạn khả năng hoàn trả năng lượng và hấp thụ tác động tối ưu cho quãng đường của bạn Nó kết hợp với bộ phận Zoom Air mang lại năng lượng hoàn trả hiệu quả sau mỗi bước đi Tấm sợi carbon mang lại
Giày chạy bộ nam Nike Zoom Superfly Elite 2,2.0,0.0,600000.0,0.0,NIKE,Thiết kế của tấm đĩa được tạo ra bằng cách sử dụng dữ liệu từ hàng trăm vận động viên Kết quả là đế ngoài có độ cứng tăng lên và trọng lượng giảm Các đnh trên toàn bộ tấm cung cấp lực kéo giúp chân bạn bám chắc khi chạy vòng quanh Nó bao gồm 8 chốt b,3.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FB652QpqNqV3564Lx_1702661002171.jpg?alt=media""]",giay-chay-bo-nam-nike-zoom-superfly-elite-2,999.0,Vải Flyknit,Vải Flyknit được kéo căng hấp và định hình mang lại cảm giác nhẹ vừa vặn với khả năng hấp thụ nước tối thiểu và tăng cường khả năng thoáng khí
Giày chạy bộ nam Nike ZoomX Dragonfly Bowerman Track Club,3.0,0.0,3000000.0,0.0,NIKE,Thiết kế có gờ  Tấm lót bàn chân trước có gai được tạo ra bằng cách sử dụng dữ liệu từ hàng trăm vận động viên Nó giúp đảm bảo sự chuyển tiếp suôn sẻ từ cú đánh bằng ngón chân sang cú đánh bằng gót chân,1.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FB9EmnKesva20Zo3M_1702661422051.jpg?alt=media""]",giay-chay-bo-nam-nike-zoomx-dragonfly-bowerman-track-club,1497.0,Vải Flyknit,Bọt Nike ZoomX sử dụng kỹ thuật tiên tiến để biến tác động từ bước đi của bạn thành năng lượng cho sải bước tiếp theo của bạn Nó nhẹ hơn mềm hơn và phản ứng nhanh hơn các loại bọt khác
Giày chạy bộ nam Nike Air Zoom Maxfly,4.0,0.0,4750000.0,0.0,NIKE,Bộ phận Zoom Air ở bàn chân trước mang lại cho bạn độ nảy nhẹ và phản hồi nhanh khi chân bạn tiếp xúc với đường đua 2 buồng đệm trong bộ phận không khí thậm chí còn tăng thêm độ ổn định và lò xo Nó kết hợp với một tấm carbon có chiều dài đầy đủ để mang ,4.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2F1xtgFPQKfiqI0TSo_1702661870217.jpg?alt=media""]",giay-chay-bo-nam-nike-air-zoom-maxfly,177.0,Vải dệt và tổng hợp,Thân giày bằng vải dệt và tổng hợp mang lại cho bạn cảm giác an toàn nhẹ nhàng Dây buộc có khía có nghĩa là ít có khả năng dây buộc bị tuột ra giữa chừng
Giày chạy bộ nam Nike Rival Sprint,5.0,0.0,1875000.0,0.0,NIKE,Cao su ở gót chân mang lại lớp đệm và độ bền cho bước chân của bạn cũng như lực kéo để phanh sau cuộc đua Dải giữa bàn chân mang lại sự vừa vặn năng động và ngăn chặn hỗ trợ qua vòm Lưới bàn chân trước được gia cố nhiều lớp mang lại sự thoáng khí và độ ,5.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2Fq9MFfEbsUFKLybFu_1702662313974.jpg?alt=media""]",giay-chay-bo-nam-nike-rival-sprint,242.0,Nhôm gốm nhẹ,Chất liệu nhôm gốm nhẹ tăng thêm độ bền
Nike Pegasus Trail 4 GORETEX,6.0,0.0,4000000.0,0.0,NIKE,Ít cao su hơn dọc theo đế ngoài tạo ra sự chuyển tiếp suôn sẻ từ đường này sang đường mòn khác trong khi vẫn giữ được đế giữa React có chiều dài tối đa Đế ngoài bằng cao su bao quanh mặt trước của giày để tăng thêm độ bền Mô hình lực kéo tổng hợp kết hợ,0.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2F0t9YfqaIPtBpbQTa_1702663047589.jpg?alt=media""]",nike-pegasus-trail-4-goretex,1495.0,Vải dệt và tổng hợp,Công nghệ Nike React là loại bọt nhẹ bền mang lại cảm giác êm ái và phản ứng nhanh Thiết kế toàn bộ chiều dài của nó mang lại sự ổn định khi bạn vượt qua địa hình nhiều đá
Giày chạy bộ nam NIKE DOWNSHIFTER 12,8.0,0.0,1615000.0,0.0,NIKE,Lớp bọt mềm dưới đế mang lại sự êm ái và hỗ trợ cho bạn khi bạn chạy và nhảy,0.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FnHwAaiAeqWfHWIuW_1702698647235.png?alt=media""]",giay-chay-bo-nam-nike-downshifter-12,3493.0,Vải dệt và tổng hợp,Được làm từ 20 thành phần tái chế tính theo trọng lượng Nike Downshifter 12 mang lại cảm giác vừa vặn và ổn định giúp bạn dễ dàng chuyển động bàn chân Chuyến đi của bạn đã bắt đầu Buộc chặt dây giày và chinh phục từng cự li
Giày chạy bộ Nike Pegasus Trail 4,9.0,0.0,2800000.0,0.0,NIKE,Đế ngoài bằng cao su có mô hình lực kéo tổng hợp được tạo ra bằng cách sử dụng dữ liệu từ những người chạy bộ như bạn Nó giúp chân bạn bám chắc ở những khu vực quan trọng giúp bạn đứng thẳng và ổn định trên những con đường mòn đầy đá đồng thời duy trì,5.0,1.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2Fc9ACiZV5kPhviIbR_1702741686925.jpg?alt=media""]",giay-chay-bo-nike-pegasus-trail-4,2495.0,Công nghệ Nike React là loại bọt nhẹ bền mang lại cảm giác êm ái và phản ứng nhanh,Công nghệ Flywire được tích hợp với dải giữa bàn chân để hỗ trợ toàn diện giúp giữ chân bạn đúng vị trí
Giày chạy bộ Nike Zegama,10.0,0.0,4250000.0,0.0,NIKE,Đế giữa Nike ZoomX nhẹ kết hợp với chiều cao xếp chồng tăng lên để giúp cung cấp đệm trong thời gian chạy kéo dài,2.7,14.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2F6yqgb8rp3rT1b9Xd_1702742158933.jpg?alt=media""]",giay-chay-bo-nike-zegama,1497.0,Vải Nike ZoomX,"Đệm ZoomX Foam mang lại sự nhẹ nhàng, êm ái và khả năng hoàn trả năng lượng vượt trội."
Giày chạy bộ Nike Kiger 9,11.0,0.0,4000000.0,0.0,NIKE,Phần trên nhẹ và có tính khử vì vậy giày có cảm giác như biến mất trên đôi chân của bạn trong khi vẫn cung cấp khả năng giảm chấn trên đường mòn Nó được làm bằng lưới kỹ thuật chắc chắn và linh hoạt hơn lưới thông thường đồng thời giúp ngăn bụi bẩn D,5.0,2.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FxSEUvuHs2CjbgyAV_1702743572587.jpg?alt=media""]",giay-chay-bo-nike-kiger-9,1497.0,Vật liệu cứng chống mài mòn,Công nghệ Nike React là loại bọt nhẹ bền mang lại cảm giác êm ái và phản ứng nhanh Chúng tôi đã triển khai đế giữa React đầy đủ và loại bỏ bộ phận Air ở bàn chân trước khỏi phiên bản trước để bạn có thể tiếp cận gần mặt đất hơn mà không phải hy sinh sự
